procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 3366208 181040 1798308    0    0   692    47  273  407  7  2 87  5  0
 1  0      0 3354676 181040 1798312    0    0     0     0  643  886  4  1 96  0  0
 1  0      0 3344260 181056 1798296    0    0     0  2164  607  800  4  1 92  3  0
 0  0      0 3333968 181056 1798296    0    0     0    12  455  631  2  1 97  0  0
 1  0      0 3322084 181056 1798296    0    0     0     0  532  723  3  1 96  0  0
 2  0      0 3318964 181056 1798296    0    0     0     0  433  605  1  0 99  0  0
 1  0      0 3312020 181056 1798296    0    0     0     0  442  725  1  1 98  0  0
 1  0      0 3300364 181056 1798296    0    0     0     0  928 1402 14  1 85  0  0
 1  0      0 3289948 181064 1798296    0    0     0   380  835 1346  3  1 96  1  0
 0  0      0 3280152 181064 1798296    0    0     0     0  850 1370  4  1 95  0  0
 1  0      0 3267876 181064 1798296    0    0     0     0  849 1260  4  1 95  0  0
 1  0      0 3257832 181064 1798296    0    0     0     0  461  638  2  0 98  0  0
 1  0      0 3247540 181064 1798296    0    0     0     0  705 1248  4  1 95  0  0
 1  0      0 3236380 181064 1798296    0    0     0    52  570  811  3  1 96  0  0
 1  0      0 3225964 181072 1798296    0    0     0    56  460  638  2  1 97  1  0
